#Data tag : 24v2 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/pb),recorded(/pb)
383034:9886,07/11/24 05:08:29,666,HLT_Photon30EB_TightID_TightIso_v10,1.745718567,1.618284236
383036:9886,07/11/24 09:34:23,58,HLT_Photon30EB_TightID_TightIso_v10,0.156804972,0.143831998
383134:9891,07/12/24 19:19:21,110,HLT_Photon30EB_TightID_TightIso_v10,0.043301669,0.041941638
383148:9895,07/13/24 04:50:42,537,HLT_Photon30EB_TightID_TightIso_v10,0.221040668,0.214927014
383153:9896,07/13/24 10:30:17,194,HLT_Photon30EB_TightID_TightIso_v10,0.457672428,0.366595039
383155:9896,07/13/24 11:58:31,1854,HLT_Photon30EB_TightID_TightIso_v10,4.284127687,4.055197532
383162:9899,07/14/24 03:43:21,1528,HLT_Photon30EB_TightID_TightIso_v10,3.923437085,3.708927223
383163:9899,07/14/24 13:49:37,514,HLT_Photon30EB_TightID_TightIso_v10,0.914572906,0.879321001
383173:9900,07/14/24 19:48:15,929,HLT_Photon30EB_TightID_TightIso_v10,2.445011136,2.292535514
383174:9900,07/15/24 01:54:31,1021,HLT_Photon30EB_TightID_TightIso_v10,2.177646198,2.046256262
383175:9900,07/15/24 08:35:33,158,HLT_Photon30EB_TightID_TightIso_v10,0.234960538,0.219814947
383247:9904,07/15/24 23:52:58,108,HLT_Photon30EB_TightID_TightIso_v10,0.232639900,0.219146397
383254:9905,07/16/24 03:16:42,1228,HLT_Photon30EB_TightID_TightIso_v10,3.257730077,3.027843421
383255:9905,07/16/24 11:15:10,915,HLT_Photon30EB_TightID_TightIso_v10,1.785639284,1.712767037
383275:9906,07/16/24 20:29:35,177,HLT_Photon30EB_TightID_TightIso_v10,0.424696894,0.371089438
383276:9906,07/16/24 21:41:34,292,HLT_Photon30EB_TightID_TightIso_v10,0.792204284,0.738827104
383277:9906,07/16/24 23:40:04,676,HLT_Photon30EB_TightID_TightIso_v10,1.829299599,1.715900906
383323:9910,07/17/24 13:35:57,1265,HLT_Photon30EB_TightID_TightIso_v10,3.349505644,3.117330849
383326:9910,07/17/24 22:14:31,516,HLT_Photon30EB_TightID_TightIso_v10,1.014941425,0.952824767
383363:9911,07/18/24 09:52:44,743,HLT_Photon30EB_TightID_TightIso_v10,1.932990557,1.803912741
383365:9911,07/18/24 14:47:25,53,HLT_Photon30EB_TightID_TightIso_v10,0.143731344,0.127906336
383366:9911,07/18/24 15:11:11,27,HLT_Photon30EB_TightID_TightIso_v10,0.073655051,0.063535703
383367:9911,07/18/24 15:24:35,176,HLT_Photon30EB_TightID_TightIso_v10,0.477359021,0.443187341
383368:9911,07/18/24 17:16:22,1037,HLT_Photon30EB_TightID_TightIso_v10,2.022260132,1.947660771
383377:9912,07/19/24 03:48:39,279,HLT_Photon30EB_TightID_TightIso_v10,0.698214574,0.652580408
383417:9917,07/20/24 01:05:27,779,HLT_Photon30EB_TightID_TightIso_v10,2.042452624,1.895884081
383418:9917,07/20/24 06:11:06,917,HLT_Photon30EB_TightID_TightIso_v10,2.164552773,2.047510192
383447:9920,07/20/24 20:44:24,474,HLT_Photon30EB_TightID_TightIso_v10,1.220830649,1.137779418
383448:9920,07/20/24 23:49:51,465,HLT_Photon30EB_TightID_TightIso_v10,1.259857204,1.160191310
383449:9920,07/21/24 02:51:33,1248,HLT_Photon30EB_TightID_TightIso_v10,2.510775326,2.406174027
383467:9921,07/21/24 13:30:14,177,HLT_Photon30EB_TightID_TightIso_v10,0.416306343,0.382053427
383468:9921,07/21/24 14:41:33,2149,HLT_Photon30EB_TightID_TightIso_v10,4.740491541,4.496324224
383485:9923,07/22/24 08:25:14,77,HLT_Photon30EB_TightID_TightIso_v10,0.144905359,0.133161154
383486:9923,07/22/24 08:56:37,116,HLT_Photon30EB_TightID_TightIso_v10,0.310434743,0.257075107
383487:9923,07/22/24 09:47:12,2043,HLT_Photon30EB_TightID_TightIso_v10,4.732342325,4.450719489
383496:9925,07/23/24 02:52:20,181,HLT_Photon30EB_TightID_TightIso_v10,0.440419201,0.404312128
383512:9926,07/23/24 06:46:08,1755,HLT_Photon30EB_TightID_TightIso_v10,4.420819125,4.130551520
383514:9926,07/23/24 19:13:08,139,HLT_Photon30EB_TightID_TightIso_v10,0.217155195,0.210224577
383536:9927,07/24/24 02:13:47,164,HLT_Photon30EB_TightID_TightIso_v10,0.370637320,0.342392790
383537:9927,07/24/24 03:19:59,76,HLT_Photon30EB_TightID_TightIso_v10,0.205765615,0.183807718
383541:9927,07/24/24 04:01:38,302,HLT_Photon30EB_TightID_TightIso_v10,0.817189280,0.762486269
383629:9931,07/25/24 00:40:17,190,HLT_Photon30EB_TightID_TightIso_v10,0.449823382,0.424623126
383630:9931,07/25/24 01:56:20,295,HLT_Photon30EB_TightID_TightIso_v10,0.775683724,0.732076162
383631:9931,07/25/24 03:56:49,1675,HLT_Photon30EB_TightID_TightIso_v10,3.794865594,3.572004595
383647:9932,07/25/24 17:03:23,107,HLT_Photon30EB_TightID_TightIso_v10,0.229418681,0.210638534
383648:9932,07/25/24 17:46:40,232,HLT_Photon30EB_TightID_TightIso_v10,0.628361263,0.573548688
383649:9932,07/25/24 19:18:20,342,HLT_Photon30EB_TightID_TightIso_v10,0.927118505,0.855499526
383650:9932,07/25/24 21:33:00,41,HLT_Photon30EB_TightID_TightIso_v10,0.111095683,0.096795648
383661:9934,07/26/24 01:47:35,101,HLT_Photon30EB_TightID_TightIso_v10,0.210500146,0.192480162
383662:9934,07/26/24 02:30:01,181,HLT_Photon30EB_TightID_TightIso_v10,0.489593998,0.446790237
383669:9935,07/26/24 05:40:30,639,HLT_Photon30EB_TightID_TightIso_v10,1.676838563,1.558260920
383687:9936,07/26/24 12:06:39,476,HLT_Photon30EB_TightID_TightIso_v10,1.235573994,1.143713334
383692:9937,07/26/24 17:20:31,859,HLT_Photon30EB_TightID_TightIso_v10,2.263453716,2.066974520
383693:9937,07/26/24 22:56:12,155,HLT_Photon30EB_TightID_TightIso_v10,0.418693377,0.379175617
383694:9937,07/27/24 00:04:44,30,HLT_Photon30EB_TightID_TightIso_v10,0.077895728,0.048836482
383695:9937,07/27/24 00:19:44,740,HLT_Photon30EB_TightID_TightIso_v10,1.577801869,1.482619916
383712:9939,07/27/24 08:34:14,1552,HLT_Photon30EB_TightID_TightIso_v10,3.987972183,3.707780201
383724:9939,07/27/24 19:49:19,192,HLT_Photon30EB_TightID_TightIso_v10,0.344197052,0.332111099
383740:9941,07/28/24 01:30:34,676,HLT_Photon30EB_TightID_TightIso_v10,1.749590044,1.609373437
383741:9941,07/28/24 05:57:18,574,HLT_Photon30EB_TightID_TightIso_v10,1.533357289,1.423566777
383756:9942,07/28/24 12:25:37,1365,HLT_Photon30EB_TightID_TightIso_v10,3.549234862,3.295900317
383758:9942,07/28/24 21:50:52,25,HLT_Photon30EB_TightID_TightIso_v10,0.053221112,0.049912483
383767:9943,07/29/24 00:29:10,1603,HLT_Photon30EB_TightID_TightIso_v10,4.064595216,3.749790726
383779:9943,07/29/24 10:56:46,173,HLT_Photon30EB_TightID_TightIso_v10,0.322992393,0.309955666
383811:9945,07/29/24 16:52:13,41,HLT_Photon30EB_TightID_TightIso_v11,0.072887016,0.062329866
383812:9945,07/29/24 17:11:17,338,HLT_Photon30EB_TightID_TightIso_v11,0.916008520,0.824905886
383813:9945,07/29/24 19:25:59,104,HLT_Photon30EB_TightID_TightIso_v11,0.281385231,0.256500654
383814:9945,07/29/24 20:12:38,1244,HLT_Photon30EB_TightID_TightIso_v11,3.067725979,2.868340974
383830:9947,07/30/24 08:01:55,124,HLT_Photon30EB_TightID_TightIso_v11,0.292529230,0.257644152
383832:9947,07/30/24 08:59:00,405,HLT_Photon30EB_TightID_TightIso_v11,1.099251203,0.982907157
383833:9947,07/30/24 11:39:37,173,HLT_Photon30EB_TightID_TightIso_v11,0.469245096,0.429676600
383834:9947,07/30/24 12:49:56,438,HLT_Photon30EB_TightID_TightIso_v11,1.174115354,1.086900160
383854:9951,07/30/24 20:32:23,1088,HLT_Photon30EB_TightID_TightIso_v11,2.901451883,2.653773944
383855:9951,07/31/24 03:37:50,905,HLT_Photon30EB_TightID_TightIso_v11,1.964888029,1.858891357
383900:9960,07/31/24 15:53:42,29,HLT_Photon30EB_TightID_TightIso_v11,0.042274262,0.040071155
383907:9962,08/01/24 01:35:28,620,HLT_Photon30EB_TightID_TightIso_v11,1.634921986,1.477827622
383908:9962,08/01/24 05:40:02,16,HLT_Photon30EB_TightID_TightIso_v11,0.043313406,0.037916483
383948:9967,08/01/24 21:31:59,882,HLT_Photon30EB_TightID_TightIso_v11,2.310361352,2.117263963
383949:9967,08/02/24 03:17:57,905,HLT_Photon30EB_TightID_TightIso_v11,2.138780496,2.022092059
383996:9969,08/02/24 14:25:58,2197,HLT_Photon30EB_TightID_TightIso_v11,5.069277046,4.787725960
384014:9970,08/03/24 07:49:48,378,HLT_Photon30EB_TightID_TightIso_v11,0.933617290,0.877017408
384029:9971,08/03/24 12:39:06,443,HLT_Photon30EB_TightID_TightIso_v11,1.107977696,1.037578945
384052:9973,08/04/24 01:26:33,2142,HLT_Photon30EB_TightID_TightIso_v11,4.976111512,4.667839186
384069:9974,08/04/24 17:15:47,1226,HLT_Photon30EB_TightID_TightIso_v11,3.161531227,2.861365473
384070:9974,08/05/24 01:14:33,678,HLT_Photon30EB_TightID_TightIso_v11,1.404643257,1.331599587
384124:9978,08/05/24 19:07:55,69,HLT_Photon30EB_TightID_TightIso_v11,0.127286348,0.112512254
384126:9978,08/05/24 19:39:33,20,HLT_Photon30EB_TightID_TightIso_v11,0.052277097,0.034425965
384127:9978,08/05/24 19:50:44,15,HLT_Photon30EB_TightID_TightIso_v11,0.039365875,0.034508802
384128:9978,08/05/24 20:00:38,1613,HLT_Photon30EB_TightID_TightIso_v11,4.018909011,3.772885226
384187:9982,08/06/24 20:53:18,384,HLT_Photon30EB_TightID_TightIso_v11,0.917115195,0.845409428
384188:9982,08/06/24 23:24:43,255,HLT_Photon30EB_TightID_TightIso_v11,0.669656573,0.624907703
384202:9983,08/07/24 12:18:48,1760,HLT_Photon30EB_TightID_TightIso_v11,4.323327336,4.070384116
384203:9983,08/07/24 23:45:16,8,HLT_Photon30EB_TightID_TightIso_v11,0.014913953,0.012482771
384204:9983,08/07/24 23:51:25,215,HLT_Photon30EB_TightID_TightIso_v11,0.371249799,0.350466534
384209:9984,08/08/24 07:07:55,783,HLT_Photon30EB_TightID_TightIso_v11,2.006682780,1.864648459
384238:9986,08/08/24 17:13:57,534,HLT_Photon30EB_TightID_TightIso_v11,1.351386378,1.248733131
384239:9986,08/08/24 20:44:28,1323,HLT_Photon30EB_TightID_TightIso_v11,3.141593960,2.970648605
384244:9986,08/09/24 06:26:49,146,HLT_Photon30EB_TightID_TightIso_v11,0.231893988,0.224681242
384264:9987,08/09/24 11:29:13,969,HLT_Photon30EB_TightID_TightIso_v11,2.493747331,2.314271967
384265:9987,08/09/24 17:49:25,408,HLT_Photon30EB_TightID_TightIso_v11,1.043670669,0.977465420
384290:9989,08/10/24 20:15:12,111,HLT_Photon30EB_TightID_TightIso_v11,0.290044526,0.251097570
384291:9989,08/10/24 21:33:54,1630,HLT_Photon30EB_TightID_TightIso_v11,3.945000557,3.724028138
384318:9992,08/11/24 12:35:40,33,HLT_Photon30EB_TightID_TightIso_v11,0.037749254,0.035624084
384322:9994,08/11/24 18:20:51,703,HLT_Photon30EB_TightID_TightIso_v11,1.798655990,1.661987232
384323:9994,08/11/24 22:57:34,432,HLT_Photon30EB_TightID_TightIso_v11,1.134651416,1.059703733
384331:9995,08/12/24 03:58:07,590,HLT_Photon30EB_TightID_TightIso_v11,1.500775880,1.385061749
384332:9995,08/12/24 07:49:44,529,HLT_Photon30EB_TightID_TightIso_v11,1.388390255,1.289938563
384377:9996,08/12/24 18:27:38,394,HLT_Photon30EB_TightID_TightIso_v11,0.983260719,0.905720401
384378:9996,08/12/24 21:06:29,168,HLT_Photon30EB_TightID_TightIso_v11,0.440276120,0.400828411
384380:9996,08/12/24 22:50:43,27,HLT_Photon30EB_TightID_TightIso_v11,0.071121695,0.064772890
384382:9996,08/12/24 23:17:40,159,HLT_Photon30EB_TightID_TightIso_v11,0.417174174,0.387491445
